model,accuracy,precision,recall,f1,auc
SVM,0.6906666666666667,0.6902536715620827,1.0,0.8167456556082149,0.44955628792721297
NaiveBayes,0.6933333333333334,0.7041251778093883,0.9574468085106383,0.8114754098360656,0.6180340525149219
RandomForest,0.6813333333333333,0.688858695652174,0.9806576402321083,0.8092577813248204,0.5779629921717402
GradientBoosting,0.6653333333333333,0.69,0.9342359767891683,0.7937551355792933,0.5838653174056334
KNN,0.6333333333333333,0.6996699669966997,0.8201160541586073,0.755120213713268,0.5090610238998514
DecisionTree,0.572,0.7041666666666667,0.6537717601547389,0.6780341023069207,0.522164850034451
LogisticRegression,0.5786666666666667,0.749379652605459,0.5841392649903289,0.6565217391304348,0.6183412058674591
